Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,470967.08471780736,9314.064958580468
0,2,424180.8766143392,9314.064958580468
0,3,188021.7007296638,9314.064958580468
0,4,60290.53631991345,9314.064958580468
1,1,578684.7030878463,9314.064958580468
1,2,519674.9877391378,9314.064958580468
1,3,150455.5868515357,9314.064958580468
1,4,62594.123146978425,9314.064958580468
2,1,649979.2879254584,9314.064958580468
2,2,513569.1664180198,9314.064958580468
2,3,106802.93163217172,9314.064958580468
2,4,60632.38519397653,9314.064958580468
3,1,754691.268662534,9314.064958580468
3,2,493445.68741609616,9314.064958580468
3,3,109036.81391658609,9314.064958580468
3,4,63102.8180007903,9314.064958580468
