Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,382905.3143494143,9179.085992474353
0,2,336086.16392826,9179.085992474353
0,3,154197.39811419428,9179.085992474353
0,4,57109.14968359834,9179.085992474353
1,1,471386.51039257104,9179.085992474353
1,2,415540.79654506885,9179.085992474353
1,3,131470.16013557685,9179.085992474353
1,4,60532.005956601875,9179.085992474353
2,1,533252.3592789075,9179.085992474353
2,2,414360.25204678107,9179.085992474353
2,3,100179.5393523657,9179.085992474353
2,4,60660.84133469561,9179.085992474353
3,1,625462.199761983,9179.085992474353
3,2,408455.96270688385,9179.085992474353
3,3,109570.06651259073,9179.085992474353
3,4,66521.96652673405,9179.085992474353
