Chamber,Eta,Rate,Error
0,1,33634670.149669185,48995.9936620656
0,2,31348450.13525184,47301.511690931
0,3,18662826.79913496,36496.87634336689
0,4,6977638.838333013,22316.250444244833
1,1,35321071.451512754,50209.27124723204
1,2,33695051.70974027,49039.95318276666
1,3,15579513.0933773,33346.01364711725
1,4,7115745.598070074,22536.018459148225
2,1,36671948.26884782,51160.4051349171
2,2,33762499.19705372,49089.010357157196
2,3,12037270.981878394,29311.024739131477
2,4,6988059.296690434,22332.90785567594
3,1,37962443.52611181,52052.79603176767
3,2,33331477.635269683,48774.661811853635
3,3,12230120.834493145,29544.888631720452
3,4,7234581.6471461505,22723.4199365478
