Chamber,Eta,Rate,Error
0,1,24864086.28915163,40624.93466885695
0,2,21393735.739473138,37683.37020612088
0,3,11123003.52623937,27171.740662761906
0,4,3440082.9703381043,15110.919155503538
1,1,27050653.39141257,42373.5942098196
1,2,24516208.25554864,40339.738105189324
1,3,9203069.902509853,24715.692527738967
1,4,3526836.75585978,15300.27027399846
2,1,29127898.776187513,43970.45926276493
2,2,24825189.794648416,40593.14612848944
2,3,6456552.582451774,20701.73617362762
2,4,3394548.848786559,15010.579354436617
3,1,31724339.348682847,45888.37902467509
3,2,24437618.751296412,40275.029387995106
3,3,6443808.33851898,20681.29505664706
3,4,3554648.413192284,15360.478656184256
