Chamber,Eta,Strip,Strip Rate,Error
0,1,-1,0.0,2376.197986799701
0,1,0,23993.06372218148,0.0
0,1,1,5177.15760130598,0.0
0,1,2,5622.504491740903,0.0
0,1,3,7014.213524350038,0.0
0,1,4,7515.228776089327,0.0
0,1,5,6179.188104784557,1142.2192764885062
0,1,6,6958.545163045673,1218.3615759289612
0,1,7,6958.545163045673,1250.9908302654537
0,1,8,6735.871717828211,1192.654853968169
0,1,9,6902.876801741308,1354.469689061188
0,1,10,7181.218608263134,1329.063909930075
0,1,11,6680.203356523846,1484.3736544997025
0,1,12,7236.886969567499,1514.3431491019103
0,1,13,7125.550246958769,1502.0145058647502
0,1,14,8350.254195654807,1641.9807586487204
0,1,15,7125.550246958769,1674.6834439778747
0,1,16,7960.57566652425,1806.436179935503
0,1,17,8071.91238913298,1852.1759798941607
0,1,18,5733.841214349634,1859.6899092455483
0,1,19,7403.892053480596,1878.7556485362654
0,1,20,7737.902221306788,2141.6046195467034
0,1,21,7236.886969567499,2014.0871588539048
0,1,22,8183.249111741711,1968.173788792978
0,1,23,7570.897137393692,1979.947615379358
0,1,24,7292.5553308718645,1990.8737001504624
0,1,25,6791.5400791325765,1910.6497529555602
0,1,26,7181.218608263134,2084.4066214007617
0,1,27,6791.5400791325765,1984.6375886665774
0,1,28,7014.213524350038,2007.1513110394478
0,1,29,6179.188104784557,1971.3203516153735
0,1,30,6401.861550002019,2009.465920277902
0,1,31,6012.183020871461,2182.4553681877765
0,1,32,5288.4943239147115,1839.5845628136244
0,1,33,6346.193188697654,1828.601870251729
0,1,34,6902.876801741308,1869.6615083895467
0,1,35,6791.5400791325765,1831.9881729119797
0,1,36,9018.274531307192,1886.9850162123855
0,1,37,6234.856466088922,2064.2380844226464
0,1,38,6958.545163045673,2017.93010674596
0,1,39,6401.861550002019,1972.8917511089112
0,1,40,10020.305034785768,2001.7401480349993
0,1,41,7904.907305219884,1998.641477217444
0,1,42,7737.902221306788,2027.1234577882822
0,1,43,8795.60108608973,1990.8737001504624
0,1,44,6735.871717828211,2033.2292651636776
0,1,45,7904.907305219884,1965.8105614582414
0,1,46,8071.91238913298,2209.2695985876303
0,1,47,6902.876801741308,1988.5374501376264
0,1,48,6847.208440436942,1975.2465063744644
0,1,49,6791.5400791325765,2058.976955681798
0,1,50,6012.183020871461,1974.4618999854652
0,1,51,6902.876801741308,1954.74439076734
0,1,52,8238.917473046076,1979.947615379358
0,1,53,7403.892053480596,1940.4237261821804
0,1,54,7181.218608263134,1888.6265867848738
0,1,55,6513.19827261075,1921.9698251464645
0,1,56,8461.590918263539,1903.3370117812356
0,1,57,7236.886969567499,2025.5941301788214
0,1,58,7236.886969567499,1981.5121732018285
0,1,59,7181.218608263134,1913.081121599417
0,1,60,8016.244027828615,1930.0149412055503
0,1,61,6624.53499521948,1968.173788792978
0,1,62,5678.172853045269,1889.4468372412587
0,1,63,5622.504491740903,1886.163695165333
0,1,64,6067.851382175827,1961.8655232429155
0,1,65,5399.831046523442,2005.6067542035123
0,1,66,7515.228776089327,2046.143610398194
0,1,67,6958.545163045673,2048.4141606921917
0,1,68,6624.53499521948,2097.0058161566135
0,1,69,7682.233860002422,2102.908729497591
0,1,70,8071.91238913298,2037.0361010472043
0,1,71,8294.585834350442,1976.0308012262462
0,1,72,6735.871717828211,1958.7037717551743
0,1,73,6179.188104784557,2027.8876890907534
0,1,74,6179.188104784557,1930.0149412055503
0,1,75,6123.519743480192,1949.9825215971805
0,1,76,6958.545163045673,1994.7613697388367
0,1,77,6735.871717828211,2002.514066543727
0,1,78,6234.856466088922,2036.2753032238256
0,1,79,6847.208440436942,2094.787935243977
0,1,80,7403.892053480596,1969.7476985117491
0,1,81,6958.545163045673,2178.1913679541017
0,1,82,7292.5553308718645,1956.329104761519
0,1,83,6902.876801741308,2102.1717717985985
0,1,84,5900.846298262731,1943.6152147305268
0,1,85,6234.856466088922,1930.0149412055503
0,1,86,6401.861550002019,2050.6821969957305
0,1,87,6958.545163045673,2055.964551792523
0,1,88,7626.565498698057,2015.6252172367813
0,1,89,8127.580750437346,2125.6276918964163
0,1,90,7069.881885654403,2011.0075130786909
0,1,91,7014.213524350038,2119.056956880599
0,1,92,6568.866633915115,1974.4618999854652
0,1,93,5455.499407827808,1895.9960660200495
0,1,94,6791.5400791325765,2091.827102760281
0,1,95,6624.53499521948,1885.3420163220862
0,1,96,6847.208440436942,1946.0053962625416
0,1,97,6179.188104784557,1999.4165951357513
0,1,98,5956.514659567096,2073.9733443405075
0,1,99,6902.876801741308,2024.0636470512159
0,1,100,6958.545163045673,2139.4329732695155
0,1,101,8016.244027828615,2055.964551792523
0,1,102,7682.233860002422,2092.5677036341704
0,1,103,8016.244027828615,2014.0871588539048
0,1,104,7904.907305219884,2149.548552002775
0,1,105,8350.254195654807,2092.5677036341704
0,1,106,9240.947976524652,2047.6575903392595
0,1,107,7236.886969567499,1954.74439076734
0,1,108,7570.897137393692,1996.3143177122652
0,1,109,7125.550246958769,2005.6067542035123
0,1,110,7793.570582611153,2024.829033218504
0,1,111,7236.886969567499,2027.8876890907534
0,1,112,7459.560414784961,1936.4269686407417
0,1,113,11022.335538264346,1990.8737001504624
0,1,114,6847.208440436942,2080.6864566983104
0,1,115,5399.831046523442,2017.93010674596
0,1,116,6568.866633915115,1958.7037717551743
0,1,117,5622.504491740903,1919.5497152776718
0,1,118,6234.856466088922,2089.6037252291476
0,1,119,7570.897137393692,1993.207211832662
0,1,120,7570.897137393692,2087.377979461456
0,1,121,5566.836130436538,1972.8917511089112
0,1,122,8461.590918263539,2033.2292651636776
0,1,123,6791.5400791325765,1949.1877457249177
0,1,124,7849.238943915519,2007.923143912059
0,1,125,6401.861550002019,1803.8610735943698
0,1,126,7348.2236921762305,2107.325063510386
0,1,127,7403.892053480596,1888.6265867848738
0,1,128,6346.193188697654,1796.1136029706508
0,1,129,6346.193188697654,1830.2958047235827
0,1,130,7292.5553308718645,1910.6497529555602
0,1,131,7181.218608263134,2073.9733443405075
0,1,132,5733.841214349634,1858.8565281106023
0,1,133,7682.233860002422,1884.5199792146318
0,1,134,7125.550246958769,1906.590581697491
0,1,135,6290.524827393288,1908.2152863653
0,1,136,7682.233860002422,1862.187814883519
0,1,137,7348.2236921762305,1714.9108318940036
0,1,138,9964.636673481404,1891.9054548554843
0,1,139,7960.57566652425,1847.9883734064258
0,1,140,7292.5553308718645,1874.6274175567144
0,1,141,6958.545163045673,1825.2092850100416
0,1,142,5733.841214349634,1773.5419214295628
0,1,143,7682.233860002422,1794.3874001663037
0,1,144,7515.228776089327,1810.7198856895398
0,1,145,7403.892053480596,1785.731356439835
0,1,146,8795.60108608973,1763.026758068154
0,1,147,8294.585834350442,1752.4485020281038
0,1,148,7737.902221306788,1810.7198856895398
0,1,149,7181.218608263134,1838.742069266889
0,1,150,7069.881885654403,1930.0149412055503
0,1,151,6902.876801741308,1826.0580222263425
0,1,152,7459.560414784961,1863.8512255009202
0,1,153,7570.897137393692,1855.519260557041
0,1,154,8684.264363481,1842.1097315559502
0,1,155,7793.570582611153,1807.2937333566688
0,1,156,6513.19827261075,1934.8259539241624
0,1,157,6067.851382175827,1841.2683934296
0,1,158,6513.19827261075,1770.918983950741
0,1,159,7570.897137393692,1761.2681274478564
0,1,160,6067.851382175827,1732.887327656836
0,1,161,5344.162685219077,1780.5175311326122
0,1,162,6624.53499521948,1930.0149412055503
0,1,163,8016.244027828615,1833.678979153658
0,1,164,7403.892053480596,1881.2282387466607
0,1,165,6958.545163045673,1806.436179935503
0,1,166,7682.233860002422,1828.601870251729
0,1,167,9240.947976524652,1906.590581697491
0,1,168,6513.19827261075,1932.4219447697249
0,1,169,7069.881885654403,1902.5227499207492
0,1,170,7403.892053480596,1855.519260557041
0,1,171,6513.19827261075,1904.1509254433163
0,1,172,6791.5400791325765,1877.105445628001
0,1,173,6735.871717828211,1857.1886439451364
0,1,174,6791.5400791325765,1777.0331490631565
0,1,175,7793.570582611153,1796.976082541592
0,1,176,6847.208440436942,1859.6899092455483
0,1,177,8906.937808698462,1826.9063651395747
0,1,178,7682.233860002422,1926.8009257511299
0,1,179,10131.6417573945,1975.2465063744644
0,1,180,7014.213524350038,1868.8325739624624
0,1,181,7403.892053480596,1809.0076206392591
0,1,182,7626.565498698057,1772.668040163683
0,1,183,7125.550246958769,1829.4490335449177
0,1,184,8071.91238913298,1847.1497128806354
0,1,185,11579.019151307999,1836.212269303563
0,1,186,8517.259279567903,1946.8014713198788
0,1,187,11078.00389956871,1925.99658385603
0,1,188,7904.907305219884,1831.9881729119797
0,1,189,7236.886969567499,1876.2797999115119
0,1,190,6457.529911306384,1831.1421843316975
0,1,191,5455.499407827808,1808.1508800652118
0,1,192,6457.529911306384,1774.4153723179866
0,1,193,10131.6417573945,1790.0646104607563
0,1,194,8294.585834350442,1877.105445628001
0,1,195,9574.958144350845,1946.0053962625416
0,1,196,12748.054738699673,1942.020126062386
0,1,197,8294.585834350442,1921.1634605944432
0,1,198,9073.942892611558,1955.5369082905831
0,1,199,9240.947976524652,1796.1136029706508
0,1,200,9908.968312177038,1891.9054548554843
